                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71285,                 2.4235,                 1.2238,                0.00476,                      1,                0.46617,                0.29665,                0.37717,                 2.8051,                0.99352,                  2e-05,                  2e-05,                  2e-05
                      2,                0.79533,                 2.5005,                 1.1996,                0.00476,                      1,                0.42891,                 0.2923,                0.35673,                 2.8007,                0.99071,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                0.62222,                 2.3377,                 1.1571,                0.00476,                      1,                0.50533,                0.38576,                0.33507,                  2.796,                0.99047,               9.34e-05,               9.34e-05,               9.34e-05
                      4,                 0.6155,                 2.2544,                 1.2055,                0.00476,                      1,                0.51848,                0.44953,                0.32326,                 2.7941,                  1.012,             0.00012614,             0.00012614,             0.00012614
                      5,                0.65445,                 2.1087,                 1.2064,                0.00476,                      1,                0.63426,                0.52398,                0.36262,                 2.7633,                0.99721,             0.00015624,             0.00015624,             0.00015624
                      6,                0.52932,                 1.6622,                  1.089,                0.00476,                      1,                  0.636,                 0.5344,                0.38158,                 2.6819,                0.98874,              0.0001837,              0.0001837,              0.0001837
                      7,                0.54353,                 1.2939,                 1.1184,                0.65432,                0.57038,                0.62221,                 0.5379,                0.41034,                 2.5567,                0.99154,             0.00020852,             0.00020852,             0.00020852
                      8,                0.54225,                 1.1947,                   1.11,                      1,                 0.1905,                0.74045,                0.64624,                0.37634,                 2.4768,                0.95491,              0.0002307,              0.0002307,              0.0002307
                      9,                0.54865,                 1.0454,                 1.1599,                      1,                0.24623,                0.78914,                0.73923,                0.34877,                 2.4117,                 0.9498,             0.00025024,             0.00025024,             0.00025024
                     10,                0.49776,                0.96891,                 1.0872,                      1,                0.53927,                 0.8223,                0.76535,                0.41175,                 2.3315,                 1.0219,             0.00026714,             0.00026714,             0.00026714
                     11,                0.44875,                0.92862,                0.98751,                0.85592,                    0.5,                0.80001,                0.72057,                0.45642,                 2.2518,                 1.0944,              0.0002814,              0.0002814,              0.0002814
                     12,                0.52726,                 1.0303,                 1.0901,                      1,                0.78165,                0.87016,                0.78468,                0.52375,                 2.2088,                 1.1579,             0.00029302,             0.00029302,             0.00029302
                     13,                0.55273,                 1.0696,                 1.1859,                0.95306,                    0.8,                0.85735,                0.73026,                0.55547,                 2.0005,                 1.1455,               0.000302,               0.000302,               0.000302
                     14,                0.49646,                0.86786,                 1.0521,                0.98272,                    0.8,                0.86055,                 0.6984,                0.58032,                  1.832,                 1.1646,             0.00030834,             0.00030834,             0.00030834
                     15,                0.50518,                 1.0384,                 1.0877,                 0.9895,                    0.8,                0.88458,                0.71515,                0.57905,                 1.7761,                 1.1436,             0.00031204,             0.00031204,             0.00031204
                     16,                0.53314,                0.91443,                  1.083,                0.98832,                    0.8,                0.92882,                0.81346,                0.51707,                  1.702,                 1.0498,              0.0003131,              0.0003131,              0.0003131
                     17,                0.53604,                 1.0491,                 1.0797,                      1,                0.79288,                0.95643,                 0.8641,                0.48593,                 1.7889,                 1.0023,             0.00031152,             0.00031152,             0.00031152
                     18,                0.52651,                 0.9092,                 1.0784,                      1,                0.82633,                  0.995,                0.88804,                0.48824,                 1.7925,                0.99576,              0.0003073,              0.0003073,              0.0003073
                     19,                0.45061,                0.81833,                0.95912,                      1,                0.90202,                  0.995,                0.87875,                0.52513,                  1.754,                 1.0568,             0.00030044,             0.00030044,             0.00030044
                     20,                0.45811,                0.82641,                 1.0241,                      1,                0.94397,                  0.995,                0.87782,                 0.5544,                 1.6744,                 1.0938,             0.00029094,             0.00029094,             0.00029094
                     21,                 0.5224,                 1.4618,                 1.1218,                      1,                0.97755,                  0.995,                0.85328,                0.58725,                 1.5522,                 1.1342,              0.0002788,              0.0002788,              0.0002788
                     22,                0.52599,                 1.3257,                 1.1315,                      1,                0.89522,                  0.995,                0.87265,                0.57435,                 1.4312,                  1.181,             0.00026402,             0.00026402,             0.00026402
                     23,                0.42156,                 1.1525,                 1.0181,                0.89737,                0.87637,                0.97682,                0.86032,                0.58688,                 1.4651,                 1.1956,              0.0002466,              0.0002466,              0.0002466
                     24,                0.35287,                 1.2163,                0.97787,                      1,                0.88912,                0.98591,                0.83524,                 0.5777,                 1.6075,                 1.1522,             0.00022654,             0.00022654,             0.00022654
                     25,                0.35693,                 1.0017,                0.94908,                      1,                0.87941,                0.98591,                0.82858,                0.61933,                 1.8004,                 1.1473,             0.00020384,             0.00020384,             0.00020384
                     26,                0.38391,                0.98074,                0.96721,                      1,                0.85076,                0.98591,                 0.8371,                0.64441,                 1.9043,                 1.1734,              0.0001785,              0.0001785,              0.0001785
                     27,                0.40278,                 1.0077,                0.93732,                      1,                0.82788,                0.97833,                0.86126,                0.59652,                 1.9107,                 1.1244,             0.00015052,             0.00015052,             0.00015052
                     28,                0.34557,                  1.017,                 0.9736,                      1,                0.82788,                0.97833,                0.86126,                0.59652,                 1.9107,                 1.1244,              0.0001199,              0.0001199,              0.0001199
                     29,                0.32799,                0.94791,                0.97186,                0.97189,                    0.8,                0.95643,                0.87146,                0.56605,                 1.8362,                 1.0961,              8.664e-05,              8.664e-05,              8.664e-05
                     30,                0.30496,                    0.9,                0.91787,                0.97391,                    0.8,                0.94143,                0.85763,                0.55532,                 1.7562,                 1.0779,              5.074e-05,              5.074e-05,              5.074e-05
